name,operator,operator:wikidata,Street Address,addr:housenumber,addr:street,addr:unit,description,addr:city,addr:state,addr:postcode,Phone Number,phone,Access Days Time,opening_hours,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,network,network:wikidata,network:website,Latitude,Longitude,EV Connector Types,,,socket:type1,socket:type1_combo,socket:chademo,socket:nacs
Fairfield Inn & Suites by Marriott Dayton North - Tesla Destination,Fairfield by Marriott,Q5430314,1 Gateway Blvd E,1,Gateway Boulevard East,,,Savannah,GA,31419,877-798-3752,+1-877-798-3752,,,,1,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.00593,-81.28046,TESLA,,,,,,yes
RAMADA WYNDHAM STATION 1,Ramada by Wyndham,Q1502859,1 Gateway Blvd E,1,Gateway Boulevard East,,Parking Lot,Savannah,GA,31419,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.00665,-81.27958,J1772,,,yes,,,
Ramada by Wyndham Savannah Gateway - Tesla Destination,Ramada by Wyndham,Q1502859,1 Gateway Blvd E,1,Gateway Boulevard East,,,Savannah,GA,31419,877-798-3752,+1-877-798-3752,,,,2,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.00593,-81.28046,TESLA,,,,,,yes
"The Ritz Carlton Reynolds, Lake Oconee - Tesla Destination",The Ritz-Carlton Hotel Company,Q782200,1 Lake Oconee Trl,1,Lake Oconee Trail,,,Greensboro,GA,30642,877-798-3752,+1-877-798-3752,,,,7,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,33.43911,-83.19477,J1772,TESLA,,yes,,,yes
GEORGIA POWER GEORGE DC2,,,1 Main St,1,Main Street,,Inside the Marathon Gas station lot,Georgetown,GA,39854,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,31.88732,-85.10823,CHADEMO,J1772COMBO,,,yes,yes,
KIA OF SAV MAIN CHARGER,Kia Motors Corporation,Q35349,1 Park of Commerce Blvd,1,Park Of Commerce Boulevard,,Front of building facing road way by parts double door,Savannah,GA,31405,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.06488,-81.16047,J1772COMBO,,,,yes,,
Westin Savannah Harbor Golf Resort & Spa - Tesla Destination,Westin Hotels & Resorts,Q1969162,1 Resort Dr,1,Resort Drive,,,Savannah,GA,31421,877-798-3752,+1-877-798-3752,,,,4,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.08349,-81.08518,TESLA,,,,,,yes
Sav-Victory Village Sand Parking Deck,,,1 W Victory Dr,1,West Victory Drive,,,savannah,GA,31405,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,32.05227,-81.10378,J1772,,,yes,,,
Sand at Victory Garage,,,1 West Victory Drive,1,West Victory Drive,,,Savannah,GA,31405,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,5,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,32.05235,-81.1038,J1772,,,yes,,,
TEN10THSTREET EVSE01,,,10 10th St NE,10,10th Street Northeast,,,Atlanta,GA,30309,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.78227,-84.38682,J1772,,,yes,,,
Darien 10 1st Street W,,,10 1st Street W,10,1st Street West,,,Darien,GA,31305,855-885-9571,+1-855-885-9571,,,,2,,,OpConnect,OpConnect,Q127700932,https://opconnect-ev.com,31.37029,-81.43695,J1772,,,yes,,,
10 GlenLake,,,10 Glenlake Parkway,10,Glenlake Parkway,,,Atlanta,GA,30328,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,5,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.93603,-84.36169,J1772,,,yes,,,
Fairfield Inn and Suites Savannah Airport - Tesla Destination,Fairfield by Marriott,Q5430314,10 Stephen S Green Dr,10,Stephen S Green Drive,,,Savannah,GA,31408,877-798-3752,+1-877-798-3752,,,,4,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.13992,-81.23643,J1772,TESLA,,yes,,,yes
Avondale Estates,,,10 Sutton Place,10,Sutton Place,,,Avondale Estates,GA,30002,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.76322,-84.26839,J1772,,,yes,,,
GEORGIA STATE GSU-W LOT,Georgia State University,Q1509333,100 Auburn Ave,100,Auburn Avenue,,Enter W Lot from Piedmont Avenue or Courtland Street. Available to Administrative Staff and Registered Visitors.,Atlanta,GA,30312,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.75642,-84.38382,J1772,,,yes,,,
La Quinta Inn & Suites by Wyndham Brunswick - Tesla Destination,La Quinta by Wyndham,Q6464734,100 Capital Square Dr,100,Capital Square Drive,,,Brunswick,GA,31525,877-798-3752,+1-877-798-3752,,,,2,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,31.24328,-81.50729,TESLA,,,,,,yes
The Cloister at Sea Island - Tesla Destination,The Cloister at Sea Island,,100 Cloister Dr,100,Cloister Drive,,,Sea Island,GA,31561,877-798-3752,+1-877-798-3752,,,,2,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,31.18141,-81.34994,J1772,TESLA,,yes,,,yes
South & Twenty Apartment Complex,,,100 Conference Center Drive,100,Conference Center Drive,,,Cartersville,GA,30121,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,34.20249,-84.78477,J1772,,,yes,,,
SAVANNAH 1 STATION 1,,,100 E Bryan St,100,East Bryan Street,,3rd floor east side of parking garage,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07987,-81.08939,J1772,,,yes,,,
SAVANNAH 1 STATION 2,,,100 E Bryan St,100,East Bryan Street,,3rd floor east side of parking garage,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07994,-81.08952,J1772,,,yes,,,
Bryan Street Garage - Tesla Destination,,,100 E Bryan St,100,East Bryan Street,,,Savannah,GA,31401,877-798-3752,+1-877-798-3752,,,,4,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.07999,-81.08979,J1772,TESLA,,yes,,,yes
SAVANNAH 1 STATION 3,,,100 E Bryan Street,100,East Bryan Street,,3rd floor east side of parking garage,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07984,-81.08975,J1772,,,yes,,,
State Street Garage - Tesla Destination,,,100 E State St,100,East State Street,,,Savannah,GA,31401,877-798-3752,+1-877-798-3752,,,,4,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,32.07801,-81.09095,J1772,TESLA,,yes,,,yes
SAVANNAH 1 STATION 4,,,100 East State Street,100,East State Street,,In between elevators 2e and 3w,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07816,-81.09052,J1772,,,yes,,,
SAVANNAH 1 STATION 6,,,100 East State Street,100,East State Street,,In between floors 2E and 3W,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07818,-81.0906,J1772,,,yes,,,
SAVANNAH 1 STATION 5,,,100 East State Street,100,East State Street,,Charger is between floors 2E and 3W,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07819,-81.09064,J1772,,,yes,,,
EnviroSpark - First and Commerce Way,,,100 First St E,100,First Street East,,,Tifton,GA,31794,404-736-9173,+1-404-736-9173,24 hours daily,24/7,,6,,,ENVIROSPARK,EnviroSpark,,https://envirosparkenergy.com,31.45254,-83.51133,J1772,,,yes,,,
Piedmont Columbus Regional Northside,,,100 Frist Ct,100,Frist Court,,,Columbus,GA,31909,706-494-2100,+1-706-494-2100,24 hours daily,24/7,,2,,,Non-Networked,,,,32.53472,-84.95052,J1772,,,yes,,,
Piedmont Columbus Regional Northside - Tesla,,,100 Frist Ct,100,Frist Court,,,Columbus,GA,31909,706-494-2100,+1-706-494-2100,24 hours daily,24/7,,2,,,Non-Networked,,,,32.53533,-84.95121,TESLA,,,,,,yes
Galleria 100,,,100 Galleria Parkway,100,Galleria Parkway,200,,Atlanta,GA,30339,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,4,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.88489,-84.46252,J1772,,,yes,,,
GA CYBER CENTER STATION 4,,,100 Grace Hopper Ln,100,Grace Hopper Lane,,Closest to Reynolds,Augusta,GA,30901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.47999,-81.97152,J1772,,,yes,,,
GA CYBER CENTER STATION 3,,,100 Grace Hopper Ln,100,Grace Hopper Lane,,One right of Reynolds,Augusta,GA,30901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.47997,-81.97144,J1772,,,yes,,,
GA CYBER CENTER STATION 2,,,100 Grace Hopper Ln,100,Grace Hopper Lane,,one left of Shaff Mac,Augusta,GA,30901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.47998,-81.97146,J1772,,,yes,,,
GA CYBER CENTER STATION 1,,,100 Grace Hopper Ln,100,Grace Hopper Lane,,Closest to Shaff Mac,Augusta,GA,30901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.47998,-81.97149,J1772,,,yes,,,
DOWNTOWN MAPLE STREET,,,100 Maple St,100,Maple Street,,Connect for better rates! Maple st between Reeves and Market. Outside of Woodstock Apt's. Two blocks west of Main St from downtown area.,Woodstock,GA,30188,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.09946,-84.52216,J1772,,,yes,,,
MARIPOSA MARIPOSA EV1,,,100 Montag Cir,100,Montag Circle,,Level 1 by the elevator. Gated accessibility,Atlanta,GA,30307,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.76029,-84.3617,J1772,,,yes,,,
ACCESSO SERVICE BLDG 100 GW,,,100 North Point Center East,100,North Point Center East,,Enter North Point Center from the Mall Access Road. Station is to the right of building 100,Alpharetta,GA,30022,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.04554,-84.29851,J1772,,,yes,,,
Target Atlanta #T2036,Target,Q1046951,100 Perimeter Center Pl NE,100,Perimeter Center Pl Northeast,,,Atlanta,GA,30346,877-455-3833,+1-877-455-3833,24 hours daily,24/7,,,4,,eVgo Network,eVgo,Q61803820,https://www.evgo.com,33.92954,-84.3414,CHADEMO,J1772COMBO,,,yes,yes,
Tri Star Automotive - Tesla Destination,Tri Star Automotive,,100 Powers Way,100,Powers Way,,,Tyrone,GA,30290,877-798-3752,+1-877-798-3752,,,,1,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,33.49246,-84.57802,TESLA,,,,,,yes
Government Center,,,100 Ridley Avenue,100,Ridley Avenue,,,LaGrange,GA,30241,888-356-8911,+1-888-356-8911,24 hours daily,24/7,,2,,,FLO,FLO,Q64971203,https://www.flo.com,33.04024,-85.03009,J1772,,,yes,,,
Chateau Elan Winery & Resort - Tesla Destination,Chateau Elan Winery & Resort,,100 Rue Charlemagne,100,Rue Charlemagne,,,Braselton,GA,30517,877-798-3752,+1-877-798-3752,,,,8,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,34.1013,-83.81765,J1772,TESLA,,yes,,,yes
THIGPEN CHEVY THIGPEN CHEVY,,,100 Semco Dr,100,Semco Drive,,,Lyons,GA,30436,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.20566,-82.35435,J1772,,,yes,,,
Tellus Science Museum - Tesla Destination,Tellus Science Museum,,100 Tellus Dr,100,Tellus Drive,,,White,GA,30184,877-798-3752,+1-877-798-3752,,,,3,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,34.24183,-84.77026,J1772,TESLA,,yes,,,yes
Dorsey Alston Realtors,,,100 W. Paces Ferry Road,100,West Paces Ferry Road,,,Atlanta,GA,30305,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,1,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.84111,-84.38478,J1772,,,yes,,,
NORTHPARK 400 STATION 1,,,1000 Abernathy Rd NE,1000,Abernathy Road Northeast,,"Located on Level A of the 1000 Abernathy Road Parking Garage, on the rear side of the storage room across from Garage Elevators.",Atlanta,GA,30328,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.93476,-84.35463,J1772,,,yes,,,
NORTHPARK 400 STATION 2,,,1000 Abernathy Rd NE,1000,Abernathy Road Northeast,,"Located on Level A of the 1000 Abernathy Road Parking Garage, on the rear side of the storage room across from the Garage Elevators.",Atlanta,GA,30328,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.93486,-84.35461,J1772,,,yes,,,
Avonlea Towne Lake,,,1000 Avonlea Place,1000,Avonlea Place,,,Woodstock,GA,30189,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,34.101,-84.53635,J1772,,,yes,,,
JACKSON EMC GAINESVILLE,,,1000 Dawsonville Highway,1000,Dawsonville Highway,,,Gainesville,GA,30501,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.3008,-83.85779,CHADEMO,J1772COMBO,,,yes,yes,
COBB EMC OFFICE STATION #1,,,1000 EMC Pkwy,1000,Emc Parkway,,Near main entrance of Bldg 1000,Marietta,GA,30060,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.97997,-84.55674,CHADEMO,J1772COMBO,,,yes,yes,
Cobb EMC Visitor Parking,,,1000 EMC Pkwy,1000,Emc Parkway,,,Marietta,GA,30060,,,24 hours daily,24/7,,1,,,Non-Networked,,,,33.97945,-84.55678,J1772,,,yes,,,
CCGVT CCGVT ST 4,,,1000 Front Ave,1000,Front Avenue,,,Columbus,GA,31901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.46567,-84.99428,J1772,,,yes,,,
CCGVT CCGVT ST 3,,,1000 Front Ave,1000,Front Avenue,,,Columbus,GA,31901,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.46567,-84.99428,J1772,,,yes,,,
The Lodge on Little St. Simons Island - Tesla Destination,The Lodge,,1000 Hampton River Club Marina Dr,1000,Hampton River Club Marina Drive,,,St Simons Island,GA,31522,877-798-3752,+1-877-798-3752,,,,2,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,31.29461,-81.34473,J1772,TESLA,,yes,,,yes
TARGET FLEET HAMPTONTDC01,Target,Q1046951,1000 Site Pkwy,1000,Site Parkway,,,Hampton,GA,30228,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,2,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.36777,-84.31354,J1772COMBO,,,,yes,,
Southlake Mall - Tesla Supercharger,Southlake Mall,,1000 Southlake Cir,1000,Southlake Circle,,,Morrow,GA,30260,877-798-3752,+1-877-798-3752,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,24/7,,,24,,Tesla,Tesla,Q17089620,https://www.tesla.com/supercharger,33.5761,-84.3548,TESLA,,,,,,yes
The Station At Brighton,,,1000 Station Drive,1000,Station Drive,,,Grovetown,GA,30813,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,2,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.46484,-82.19866,J1772,,,yes,,,
Tanger Locust Grove,,,1000 Tanger Dr,1000,Tanger Drive,,,Locust Grove,GA,30248,855-900-7584,+1-855-900-7584,24 hours daily,24/7,,3,,,SHELL_RECHARGE,Shell Recharge,Q105883058,https://www.shell.us/motorist/electric-vehicle-charging.html,33.34889,-84.12278,J1772,,,yes,,,
TURNER TECHWOOD TECH 1000 2,,,1000 Techwood Dr NW,1000,Techwood Drive Northwest,,For Use by Turner Employees Only.,Atlanta,GA,30318,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.7819,-84.39349,J1772,,,yes,,,
TURNER TECHWOOD TECH 1000 01,,,1000 Techwood Dr NW,1000,Techwood Drive Northwest,,For Use by Turner Employees Only.,Atlanta,GA,30318,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.78183,-84.39353,J1772,,,yes,,,
DELTA AIR LINES MIDFIELD #1,Delta Air Lines,Q188920,1000 Toffie Terrace,1000,Toffie Terrace,,-Chargers are located in the east corner next to deicing station,Atlanta,GA,30354,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.65302,-84.43014,J1772,,,yes,,,
DELTA AIR LINES MIDFIELD #2,Delta Air Lines,Q188920,1000 Toffie Terrace,1000,Toffie Terrace,,-Charger is located in east corner of lot next to deicing station,Atlanta,GA,30354,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.65308,-84.43013,J1772,,,yes,,,
DELTA AIR LINES MIDFIELD #3,Delta Air Lines,Q188920,1000 Toffie Terrace,1000,Toffie Terrace,,I east corner of parking lot next to deicing station,Atlanta,GA,30354,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.65313,-84.43012,J1772,,,yes,,,
GA GWINNETT COL BUILDING B LOT,Georgia Gwinnett College,Q5547517,1000 University Center Lane,1000,University Center Lane,,In Building B lot against the tree line in the back of the lot.,Lawrenceville,GA,30043,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.98135,-84.00411,J1772,,,yes,,,
GA GWINNETT COL BLDG A LOT,,,1000 University Center Lane,1000,University Center Lane,,Building A Lot,Lawrenceville,GA,30043,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.97943,-84.00011,J1772,,,yes,,,
GA GWINNETT COL STUDENT HOUSING,Georgia Gwinnett College,Q5547517,1000 University Center Ln,1000,University Center Lane,,In the Student housing parking lot.,Lawrenceville,GA,30043,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.97981,-84.0073,J1772,,,yes,,,
GA GWINNETT COL MAIN DECK1,Georgia Gwinnett College,Q5547517,1000 University Center Ln,1000,University Center Lane,,"When you enter the main deck parking garage, drive up the center lane to the second floor and follow it right. It is on the right hand side near the end of the aisle.",Lawrenceville,GA,30043,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.98123,-84.00012,J1772,,,yes,,,
Vintage Brunswick,,,1000 Vintage Brunswick Circle,1000,Vintage Brunswick Circle,,,Brunswick,GA,31525,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,10,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,31.23975,-81.5091,J1772,,,yes,,,
8K PARKING DECK 10K PARKING #2,,,10000 Avalon Blvd,10000,Avalon Boulevard,,Parking level P-1,Alpharetta,GA,30009,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.06978,-84.2743,J1772,,,yes,,,
8K PARKING DECK 10K PARKING #4,,,10000 Avalon Blvd,10000,Avalon Boulevard,,Parking level P-1,Alpharetta,GA,30009,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.06984,-84.27447,J1772,,,yes,,,
8K PARKING DECK 10K PARKING #3,,,10000 Avalon Blvd,10000,Avalon Boulevard,,Parking level P-1,Alpharetta,GA,30009,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.06981,-84.27424,J1772,,,yes,,,
8K PARKING DECK 10K PARKING #1,,,10000 Avalon Blvd,10000,Avalon Boulevard,,Parking level P-1,Alpharetta,GA,30009,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,34.06981,-84.2744,J1772,,,yes,,,
GEORGIA POWER ATHENS DC,,,1001 Prince Ave,1001,Prince Avenue,,"Located at the Georgia Power building near 1001 Prince Ave, Athens, GA 30606",Athens,GA,30606,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.96133,-83.39401,CHADEMO,J1772COMBO,,,yes,yes,
GEORGIA POWER ATHENS L2,,,1001 Prince Ave,1001,Prince Avenue,,,Athens,GA,30606,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.96124,-83.39387,J1772,,,yes,,,
CITYOFCOVINGTON COV GREEN FUEL1,City of Covington,,10010 City Pond Rd,10010,City Pond Road,,,Covington,GA,30014,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,,1,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.61854,-83.84405,CHADEMO,J1772COMBO,,,yes,yes,
